Method,F1_Mean,F1_Std,Accuracy_Mean,Accuracy_Std
Global Median/Mode,0.5952252911195495,0.013846677988151368,0.8176537389595143,0.005404353131178318
Global Mean/Mode,0.5939147422660916,0.012251412475116304,0.8172852027246466,0.004788487197368102
Class-Specific,0.5731943841345324,0.02776095194365883,0.8006073779417415,0.0101250780330938
Constant Filling,0.5356618160958548,0.025175346019063394,0.7830085734238719,0.0066365948181228126
