mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
23.95135474205017,0.4135929212184822,0.0368044376373291,0.0007274073406871271,balanced,,,1,2,50,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.5576036866359447,0.5471698113207547,0.6294642857142857,0.5512367491166078,0.5561861520998865,0.5683321369774958,0.03078915561645497,108,0.821312238250349,0.821312238250349,0.8455095393206142,0.8227082363890181,0.8179702048417132,0.8257624914104088,0.009996035326563787,48
36.90088777542114,0.69925183419357,0.051947498321533205,0.002546677342420992,balanced,,,1,2,80,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80}",0.5576036866359447,0.5567251461988304,0.6393805309734514,0.5650644783118406,0.54524627720504,0.5728040238650214,0.033886108729053836,107,0.821312238250349,0.8236389018147976,0.8483015355979525,0.8273615635179153,0.8151769087523277,0.8271582295866684,0.011288880062964503,36
58.35672087669373,5.6190038082764735,0.07371788024902344,0.006591251806965581,balanced,,,1,2,100,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5609195402298851,0.5471698113207547,0.6386740331491713,0.5790697674418605,0.5523590333716916,0.5756384371026726,0.03332956529559495,106,0.8222429036761284,0.821312238250349,0.8478362028850628,0.8315495579339227,0.818901303538175,0.8283684412567277,0.010640039043464156,25
33.90969042778015,1.8874071674606412,0.04579353332519531,0.004030877254276404,balanced,,,1,4,50,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",0.5823068309070548,0.5638665132336018,0.6337719298245614,0.5714285714285714,0.5598194130925508,0.5822386516972681,0.026880100333550302,103,0.8264308980921359,0.8236389018147976,0.8445788738948348,0.8255002326663564,0.8184357541899442,0.8277169321316137,0.008873142795492818,31
57.635417461395264,1.977599505530932,0.07001733779907227,0.0017331650375961884,balanced,,,1,4,80,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 80}",0.5659955257270693,0.5527522935779816,0.6381578947368421,0.585812356979405,0.5544332210998878,0.5794302584242371,0.03164403316522971,105,0.8194509073987901,0.8185202419730107,0.8464402047463937,0.8315495579339227,0.8151769087523277,0.8262275641608889,0.011526641612341628,43
78.72274665832519,1.0531629108248877,0.08042082786560059,0.00474821053015649,balanced,,,1,4,100,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.5678733031674208,0.5473441108545035,0.6431718061674009,0.5968109339407744,0.5556805399325084,0.5821761388125216,0.03479800771217368,104,0.8222429036761284,0.8175895765472313,0.849232201023732,0.8352722196370405,0.8161080074487895,0.8280889816665843,0.012542667271859837,28
43.968053340911865,0.9888246812097179,0.0574303150177002,0.0009006638967139643,balanced,,,1,6,50,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}",0.579064587973274,0.5685164212910532,0.6334056399132321,0.5899441340782123,0.5532381997804611,0.5848337966072465,0.027140971815765788,102,0.8241042345276873,0.8227082363890181,0.842717543043276,0.8292228943694742,0.8105214152700186,0.8258548647198948,0.01042855878741378,47
62.210937070846555,1.2262393317334155,0.06763601303100586,0.0014317933141004947,balanced,,,1,6,80,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 80}",0.5730088495575221,0.5629965947786606,0.6443243243243243,0.5887640449438202,0.5625692137320044,0.5863326054672663,0.03051472433789589,101,0.8203815728245696,0.8208469055374593,0.8469055374592834,0.8296882270823639,0.8161080074487895,0.8267860500704932,0.010986607893291356,40
77.6850844860077,1.496136375654098,0.08785367012023926,0.011443516330356751,balanced,,,1,6,100,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",0.5679287305122495,0.565266742338252,0.6463547334058759,0.5995525727069351,0.5638179800221975,0.588584151797102,0.03175360651447879,100,0.8194509073987901,0.8217775709632387,0.8487668683108422,0.8334108887854816,0.8170391061452514,0.8280890683207207,0.011768157651702256,27
42.259864521026614,1.4859522265304603,0.054674386978149414,0.004854137290470953,balanced,,,1,8,50,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 50}",0.5873362445414847,0.5720720720720721,0.6524973432518597,0.6006600660066007,0.5661605206073753,0.5957452492958785,0.030826425170914707,98,0.8241042345276873,0.8231735691019079,0.8478362028850628,0.8310842252210331,0.813780260707635,0.8279956984886653,0.01134600993273479,30
