mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_voting,param_weights,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
28.442024803161623,0.0947314081208215,0.042000436782836915,0.0012098482291790407,soft,"[1, 1]","{'voting': 'soft', 'weights': [1, 1]}",0.6325167037861915,0.6475644699140402,0.6597785977859778,0.6312684365781711,0.6451149425287356,0.6432486301186232,0.010526620600240738,8,0.7696603071195905,0.7710563052582596,0.7854816193578409,0.7673336435551419,0.7700186219739292,0.7727100994529523,0.006500743314993839,8
28.460011768341065,0.13465504648710006,0.042844724655151364,0.0014743328657390534,soft,"[1, 2]","{'voting': 'soft', 'weights': [1, 2]}",0.6125356125356125,0.6351633078526755,0.651395848246242,0.6254545454545455,0.6309103740296401,0.6310919376237432,0.01268838207725381,9,0.7468590041879944,0.755700325732899,0.7733829688227082,0.7603536528617962,0.7565176908752328,0.7585627284961262,0.008627857492468817,9
30.289043045043947,1.4664004930952996,0.04460897445678711,0.001852212747870859,soft,"[2, 1]","{'voting': 'soft', 'weights': [2, 1]}",0.6389728096676737,0.6573323507737656,0.6676669167291823,0.6343283582089553,0.6447848285922684,0.648617052794369,0.012253308904796152,3,0.7775709632387157,0.783620288506282,0.7938576081898557,0.7719869706840391,0.7732774674115456,0.7800626596060877,0.008005266582569878,6
31.598877954483033,0.16476296478814223,0.045993709564208986,0.0014867036472241842,soft,"[3, 1]","{'voting': 'soft', 'weights': [3, 1]}",0.6409090909090909,0.6592920353982301,0.6691729323308271,0.6321321321321322,0.6441176470588236,0.6491247675658207,0.0133163095736211,2,0.7794322940902746,0.7850162866449512,0.7952536063285249,0.7719869706840391,0.7746741154562383,0.7812726546408056,0.00827808387911087,5
31.841927242279052,0.6373355107722783,0.04786100387573242,0.003911543989638839,soft,"[3, 2]","{'voting': 'soft', 'weights': [3, 2]}",0.640542577241899,0.6515373352855052,0.6612062546537603,0.6359583952451708,0.6502177068214804,0.6478924538495632,0.008858800086245126,4,0.7780362959516054,0.7785016286644951,0.7882736156351792,0.7719869706840391,0.7756052141527002,0.7784807450176038,0.005413613744659331,7
33.01005082130432,0.12605838385525012,0.0752652645111084,0.002431426833571662,hard,"[1, 1]","{'voting': 'hard', 'weights': [1, 1]}",0.6458832933653078,0.6555290373906125,0.6698950766747377,0.634375,0.6444444444444445,0.6500253703750205,0.01198610201965444,1,0.7938576081898557,0.798510935318753,0.8096789204281061,0.7822242903676129,0.7914338919925512,0.7951411292593757,0.008999319156332007,1
33.031589937210086,0.15734776672545264,0.07301106452941894,0.002127215309715668,hard,"[1, 2]","{'voting': 'hard', 'weights': [1, 2]}",0.5944482058226134,0.6197564276048715,0.6353591160220995,0.6070199587061252,0.6053691275167785,0.6123905671344976,0.014013440099515564,10,0.7212657049790601,0.7384830153559795,0.7543043275942298,0.7342950209399721,0.7262569832402235,0.734921010421893,0.011404608369664528,10
33.34262886047363,0.21813058789442635,0.07102761268615723,0.0014365651357658858,hard,"[2, 1]","{'voting': 'hard', 'weights': [2, 1]}",0.6446280991735537,0.6524714828897339,0.660536398467433,0.6329866270430906,0.6442953020134228,0.6469835819174468,0.009192233537863682,5,0.7798976268031642,0.7873429502093997,0.7938576081898557,0.7701256398324802,0.7779329608938548,0.7818313571857509,0.00813595718361323,2
33.42053375244141,0.09636600226012111,0.05847949981689453,0.009676166673749324,hard,"[3, 1]","{'voting': 'hard', 'weights': [3, 1]}",0.6446280991735537,0.6524714828897339,0.660536398467433,0.6329866270430906,0.6442953020134228,0.6469835819174468,0.009192233537863682,5,0.7798976268031642,0.7873429502093997,0.7938576081898557,0.7701256398324802,0.7779329608938548,0.7818313571857509,0.00813595718361323,2
27.61722617149353,7.0385608123504,0.04234623908996582,0.0058364428860594305,hard,"[3, 2]","{'voting': 'hard', 'weights': [3, 2]}",0.6446280991735537,0.6524714828897339,0.660536398467433,0.6329866270430906,0.6442953020134228,0.6469835819174468,0.009192233537863682,5,0.7798976268031642,0.7873429502093997,0.7938576081898557,0.7701256398324802,0.7779329608938548,0.7818313571857509,0.00813595718361323,2
