mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00791792869567871,0.0025406562583822146,1.2642363071441651,0.00944936825182916,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.4298507462686567,0.4473953013278856,0.44160942100098133,0.4264264264264264,0.4146341463414634,0.4319832082730827,0.011546529802598458,1
0.014012575149536133,0.01635135980376803,1.2744102001190185,0.017156465609246177,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.4298507462686567,0.4473953013278856,0.44160942100098133,0.4264264264264264,0.4146341463414634,0.4319832082730827,0.011546529802598458,1
0.005902576446533203,0.0007825122001312914,1.2555891513824462,0.009122474359119134,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.42996742671009774,0.4548422198041349,0.42733188720173537,0.4334763948497854,0.4090909090909091,0.4309417675313325,0.01462256164357882,3
0.005926847457885742,0.0007531234519418526,1.2511064529418945,0.004647858572365719,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.42996742671009774,0.4548422198041349,0.42733188720173537,0.4334763948497854,0.4090909090909091,0.4309417675313325,0.01462256164357882,3
0.006232309341430664,0.001349679539698165,1.3533995628356934,0.008675650449997033,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.42403628117913833,0.42276422764227645,0.43163841807909603,0.42596810933940776,0.39819004524886875,0.4205194162977574,0.011570037030890257,5
0.005482625961303711,0.00029506837465935465,1.2599668025970459,0.05483286479068212,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.42403628117913833,0.42276422764227645,0.43163841807909603,0.42596810933940776,0.39819004524886875,0.4205194162977574,0.011570037030890257,5
0.006940317153930664,0.002605070876101305,1.3185389041900635,0.014070671270697725,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.4155844155844156,0.43832335329341315,0.4218009478672986,0.39904420549581837,0.37722419928825623,0.41039542430584036,0.020814231445697023,7
0.011275053024291992,0.010850515441747243,1.3500178337097168,0.026904600582817132,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.4155844155844156,0.43832335329341315,0.4218009478672986,0.39904420549581837,0.37722419928825623,0.41039542430584036,0.020814231445697023,7
0.005908155441284179,0.00029477796210793615,1.3268919944763184,0.012906154555542847,manhattan,11,distance,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.3930778739184178,0.44280442804428044,0.4121951219512195,0.3888888888888889,0.38545454545454544,0.4044841716514703,0.021276014430106523,9
0.008023881912231445,0.0038093392968664127,1.3225179195404053,0.007283706205191295,manhattan,11,uniform,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.3930778739184178,0.44280442804428044,0.4121951219512195,0.3888888888888889,0.38545454545454544,0.4044841716514703,0.021276014430106523,9
0.012681245803833008,0.001454348783016906,0.4696300506591797,0.009909425084390208,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.40488301119023395,0.429769392033543,0.40899795501022496,0.3707518022657055,0.3743641912512716,0.3977532703501958,0.022264035954902592,11
0.010503864288330078,0.0005328085589415519,0.29242877960205077,0.00487716387518905,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.40488301119023395,0.429769392033543,0.40899795501022496,0.3707518022657055,0.3743641912512716,0.3977532703501958,0.022264035954902592,11
0.006726360321044922,0.0014243112394226214,1.287420129776001,0.015473311654570759,manhattan,15,uniform,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.38402061855670105,0.4254215304798962,0.41044776119402987,0.3607843137254902,0.3848101265822785,0.3930968701076792,0.02254367694097007,13
0.019628381729125975,0.013260540069420424,1.2103320121765138,0.047204070074552205,manhattan,15,distance,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.38402061855670105,0.4254215304798962,0.41044776119402987,0.3607843137254902,0.3848101265822785,0.3930968701076792,0.02254367694097007,13
