model,accuracy_mean,accuracy_std,f1_mean,f1_std
Random Forest,0.8405051081813685,0.0024843604991387344,0.6121545713978639,0.011302080670066576
Naïve Bayes,0.8201415814241775,0.004160738465078813,0.5776310968757841,0.014516606549002248
Decision Tree,0.7746252974377372,0.006345041060859569,0.5549607564571797,0.011173806041062722
k-Nearest Neighbors,0.7078220446735031,0.004589369289382691,0.1351938872680833,0.010533486999826137
