mean_fit_time       , std_fit_time         , mean_score_time     , std_score_time       , param_max_depth, param_max_features, param_min_samples_leaf, param_min_samples_split, param_n_estimators, params                                                                                                            , split0_test_score  , split1_test_score , split2_test_score , split3_test_score , split4_test_score  , mean_test_score   , std_test_score      , rank_test_score
 82.15923209190369  ,  3.5702355575206806  , 0.09950828552246094 , 0.010525766107483712 ,              10,                   ,                      2,                       2,                100, "{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"     , 0.5990783410138248 , 0.6172566371681416, 0.6172566371681416, 0.5899772209567198, 0.5740112994350283 , 0.5995160271483713, 0.016559770627597357,               1
 70.33933839797973  ,  0.3383239268367357  , 0.09249234199523926 , 0.03622529722254271  ,              10,                   ,                      2,                       5,                100, "{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"     , 0.6032110091743119 , 0.614190687361419 , 0.6164079822616408, 0.585812356979405 , 0.5775764439411099 , 0.5994396959435774, 0.015384690099141946,               2
 54.50134334564209  ,  0.8859944421521089  , 0.0688591480255127  , 0.005962140664734518 ,              10,                   ,                      1,                       5,                100, "{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"     , 0.5993111366245695 , 0.6194690265486725, 0.6177777777777778, 0.5844748858447488, 0.571753986332574  , 0.5985573626256685, 0.018568938337362638,               3
 71.94509372711181  ,  3.137787297658349   , 0.07845382690429688 , 0.006384000036876053 ,              10,                   ,                      2,                      10,                100, "{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}"    , 0.6016073478760046 , 0.6157253599114064, 0.6133333333333333, 0.5876993166287016, 0.5743473325766175 , 0.5985425380652126, 0.015661375866726255,               4
108.7025815486908   ,  1.1772331957544442  , 0.10161776542663574 , 0.005440726086701022 ,              20,                   ,                      1,                      10,                100, "{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}"    , 0.5899772209567198 , 0.6229860365198711, 0.6101321585903083, 0.5939933259176863, 0.5748898678414097 , 0.598395721965199 , 0.016644548313671396,               5
 82.72449135780334  ,  0.6092179810278955  , 0.16258182525634765 , 0.14811517795100293  ,              10,                   ,                      4,                       2,                100, "{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"     , 0.5979142526071842 , 0.6187845303867403, 0.6102449888641426, 0.5876993166287016, 0.5772727272727273 , 0.5983831631518991, 0.014946127598259711,               6
 82.64907279014588  ,  9.24019991698547    , 0.08106231689453125 , 0.0073215509329924685,              10,                   ,                      4,                       5,                100, "{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}"     , 0.5979142526071842 , 0.6187845303867403, 0.6102449888641426, 0.5876993166287016, 0.5772727272727273 , 0.5983831631518991, 0.014946127598259711,               6
 85.41106729507446  ,  1.1784119360992942  , 0.08927421569824219 , 0.0064688558708845415,              20,                   ,                      2,                      10,                100, "{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}"    , 0.5950226244343891 , 0.6233766233766234, 0.6118421052631579, 0.5921787709497207, 0.5692137320044297 , 0.5983267712056641, 0.01847400169448071 ,               8
222.379629278183    ,  3.379343379469819   , 0.21394214630126954 , 0.012818112764654666 ,                ,                   ,                      4,                       5,                300, "{'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}"   , 0.5916473317865429 , 0.6262188515709642, 0.6028921023359288, 0.5993265993265994, 0.5707964601769911 , 0.5981762690394054, 0.0179010040695134  ,               9
221.32821078300475  ,  2.660360129933104   , 0.21951828002929688 , 0.006628941562662594 ,                ,                   ,                      4,                       2,                300, "{'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}"   , 0.5916473317865429 , 0.6262188515709642, 0.6028921023359288, 0.5993265993265994, 0.5707964601769911 , 0.5981762690394054, 0.0179010040695134  ,               9
