mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4884802341461182,0.006970732116344477,0.00784316062927246,0.00050180736281882,gini,10,,4,20,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 20, 'splitter': 'best'}",0.5955176093916755,0.589098532494759,0.62217659137577,0.6194331983805668,0.5930348258706468,0.6038521515026837,0.01401929041238416,1
0.4807462215423584,0.007992223305138737,0.007706785202026367,0.0008504827585487873,gini,10,,2,20,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'splitter': 'best'}",0.5947089947089947,0.5970772442588727,0.612668743509865,0.6143001007049346,0.594758064516129,0.6027026295397592,0.008859842389940423,2
0.4498262405395508,0.003473951060140547,0.0066277503967285155,0.0009705383368429615,gini,10,,8,20,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'splitter': 'best'}",0.5957894736842105,0.5970464135021097,0.6131386861313869,0.608433734939759,0.5962113659022931,0.6021239348319518,0.007238831616001327,3
0.48059792518615724,0.011648207004361968,0.007457160949707031,0.00036417850998489144,gini,10,,8,2,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2, 'splitter': 'best'}",0.5951629863301787,0.5944798301486199,0.6129707112970711,0.6062437059415912,0.596,0.6009714467434921,0.007380699804082882,4
0.47275424003601074,0.005899498167817159,0.008655929565429687,0.002178092038147664,gini,10,,8,5,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5, 'splitter': 'best'}",0.5951629863301787,0.5944798301486199,0.6129707112970711,0.6062437059415912,0.596,0.6009714467434921,0.007380699804082882,4
0.4743772506713867,0.012411660302819703,0.008601617813110352,0.0013061209047067765,gini,10,,8,10,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10, 'splitter': 'best'}",0.5951629863301787,0.5944798301486199,0.6129707112970711,0.6062437059415912,0.596,0.6009714467434921,0.007380699804082882,4
0.5619140625,0.022181291772443795,0.010761499404907227,0.0030140487701277845,gini,10,,1,20,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'}",0.5928270042194093,0.593521421107628,0.6142709410548087,0.6135216952573158,0.5868263473053892,0.6001934817889102,0.011430466337465245,7
0.5836820125579834,0.0073713461359412626,0.009972572326660156,0.0021545752468662156,entropy,10,,4,20,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 20, 'splitter': 'best'}",0.5801526717557252,0.6178861788617886,0.5977710233029382,0.6048387096774194,0.5907692307692308,0.5982835628734204,0.012749036039752127,8
0.5712575912475586,0.011775408084324685,0.00745849609375,0.0004253781518514687,entropy,10,,8,5,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5, 'splitter': 'best'}",0.5801526717557252,0.6229838709677419,0.5928934010152285,0.6092184368737475,0.5849246231155779,0.5980346007456042,0.015909815257789086,9
0.5840683460235596,0.010308969057945679,0.008309316635131837,0.0010635559064720375,entropy,10,,8,2,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2, 'splitter': 'best'}",0.5801526717557252,0.6229838709677419,0.5928934010152285,0.6092184368737475,0.5849246231155779,0.5980346007456042,0.015909815257789086,9
0.5737057685852051,0.012468397958757859,0.00807342529296875,0.000290189069521222,entropy,10,,8,10,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10, 'splitter': 'best'}",0.5801526717557252,0.6229838709677419,0.5928934010152285,0.6092184368737475,0.5849246231155779,0.5980346007456042,0.015909815257789086,9
0.5768540859222412,0.014132273316508957,0.00873250961303711,0.0012245171296631704,entropy,10,,2,20,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'splitter': 'best'}",0.579520697167756,0.6192893401015228,0.5975103734439834,0.6010050251256281,0.59244126659857,0.597953340487492,0.01292191299128529,12
0.47710285186767576,0.006525275607151979,0.00804595947265625,0.001125339940434863,gini,10,,4,10,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",0.5864661654135338,0.5813221406086044,0.6156982670744139,0.6152284263959391,0.5904572564612326,0.5978344511907447,0.014683212289653021,13
0.5660562515258789,0.014791856755940148,0.007314157485961914,0.0006586562971844018,entropy,10,,8,20,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'splitter': 'best'}",0.5814207650273224,0.6222222222222222,0.5928934010152285,0.6052104208416834,0.5864509605662285,0.597639553934537,0.014645035394833942,14
0.5972922325134278,0.0066999869439285315,0.007875776290893555,0.0009850742668796786,entropy,10,,1,20,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'}",0.579175704989154,0.6194331983805668,0.5950413223140496,0.5994005994005994,0.5918367346938775,0.5969775119556495,0.013093585895665432,15
0.47028517723083496,0.011091376792207603,0.00865030288696289,0.001746096894319278,gini,10,,4,2,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",0.5902335456475584,0.5777777777777777,0.6133333333333333,0.6125760649087221,0.5904572564612326,0.5968755956257248,0.013909711846440674,16
