mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.02442793846130371,0.004209618269618377,1.4601824283599854,0.19164045775486,auto,3,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.30371203599550056,0.31438127090301005,0.30180180180180183,0.29225736095965105,0.31026785714285715,0.30448406536056416,0.007598549763959363,1,0.7119590507212658,0.7138203815728246,0.711493718008376,0.6979990693345742,0.7122905027932961,0.7095125444860673,0.005809390055266614,37
0.03361105918884277,0.008336917778214204,1.2042819023132325,0.010738050463388394,auto,3,1,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.30371203599550056,0.31438127090301005,0.30180180180180183,0.29225736095965105,0.31026785714285715,0.30448406536056416,0.007598549763959363,1,0.7119590507212658,0.7138203815728246,0.711493718008376,0.6979990693345742,0.7122905027932961,0.7095125444860673,0.005809390055266614,37
0.011019372940063476,0.0028664996006593692,0.3130828380584717,0.014542320278733324,auto,3,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.2615933412604043,0.2304147465437788,0.23298731257208766,0.2188235294117647,0.22790697674418606,0.23434518130644433,0.014436942206194464,7,0.7110283852954863,0.6891577477896697,0.6905537459283387,0.6910190786412285,0.6908752327746741,0.6945268380858793,0.008277103960714884,39
0.009536266326904297,0.001888621568210148,0.18255434036254883,0.0035508598872698144,auto,3,2,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.2615933412604043,0.2304147465437788,0.23298731257208766,0.2188235294117647,0.22790697674418606,0.23434518130644433,0.014436942206194464,7,0.7110283852954863,0.6891577477896697,0.6905537459283387,0.6910190786412285,0.6908752327746741,0.6945268380858793,0.008277103960714884,39
0.0114837646484375,0.0007507337847848477,1.2918572425842285,0.013206156182961509,auto,5,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.2900763358778626,0.30450669914738127,0.2793017456359102,0.2325,0.27122940430925224,0.27552283699408125,0.024230339712201537,3,0.7403443462075384,0.7342950209399721,0.7310376919497441,0.7142857142857143,0.7323091247672253,0.7304543796300389,0.00869215780319965,33
0.009545040130615235,0.000503865781456144,1.1588224411010741,0.004724857315944693,auto,5,1,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.2900763358778626,0.30450669914738127,0.2793017456359102,0.2325,0.27122940430925224,0.27552283699408125,0.024230339712201537,3,0.7403443462075384,0.7342950209399721,0.7310376919497441,0.7142857142857143,0.7323091247672253,0.7304543796300389,0.00869215780319965,33
0.008724498748779296,0.0003574775825074672,0.30034170150756834,0.005665916126747509,auto,5,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.19174434087882822,0.20927152317880796,0.2166446499339498,0.1937984496124031,0.2,0.2022917927207978,0.009416571338213171,15,0.7175430432759423,0.7221963704048394,0.7240577012563983,0.7096323871568171,0.7206703910614525,0.71881997863109,0.005065573745812176,35
0.008944272994995117,0.0007189107491186288,0.196189546585083,0.0034018089214431207,auto,5,2,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.19174434087882822,0.20927152317880796,0.2166446499339498,0.1937984496124031,0.2,0.2022917927207978,0.009416571338213171,15,0.7175430432759423,0.7221963704048394,0.7240577012563983,0.7096323871568171,0.7206703910614525,0.71881997863109,0.005065573745812176,35
0.010081624984741211,0.0005861330877823784,1.309067964553833,0.012451449171382675,auto,7,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.23676880222841226,0.2796833773087071,0.2691790040376851,0.21686746987951808,0.2302357836338419,0.24654688741763292,0.023886274498213074,6,0.7449976733364355,0.745928338762215,0.7473243369008842,0.7277803629595161,0.7416201117318436,0.7415301647381789,0.0071274837227446024,25
0.00926671028137207,0.0004083258127413131,1.1612250804901123,0.003982841412193019,auto,7,1,distance,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.23676880222841226,0.2796833773087071,0.271505376344086,0.21657754010695188,0.2302357836338419,0.2469541759243999,0.024412900470840843,5,0.7449976733364355,0.745928338762215,0.7477896696137738,0.7273150302466264,0.7416201117318436,0.7415301647381789,0.007384132866990973,25
0.009119462966918946,0.0015467987051444865,0.29831418991088865,0.002391926937367316,auto,7,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.17052023121387283,0.1736613603473227,0.17151162790697674,0.17573221757322174,0.1695906432748538,0.17220321606324956,0.002223344560177556,17,0.7328990228013029,0.7342950209399721,0.7347603536528617,0.7249883666821778,0.7355679702048417,0.7325021468562312,0.003855582219098891,31
