mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.6058913230895996,0.02790105422726977,0.009091043472290039,0.0020720452738220096,,gini,,,2,10,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",0.5606936416184971,0.530938123752495,0.5449385052034059,0.5481335952848723,0.5545722713864307,0.5478552274491403,0.010047056409050483,1024,0.7878082829222894,0.7812936249418334,0.7761749651000466,0.7859469520707306,0.7891061452513967,0.7840659940572594,0.004751846411096888,568
0.07352790832519532,0.005264593480158598,0.010164022445678711,0.0007682356737557361,,gini,,,2,10,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",0.524390243902439,0.5196078431372549,0.5650485436893203,0.5662188099808061,0.5257836198179979,0.5402098121055636,0.020862624209751584,1209,0.7822242903676129,0.7719869706840391,0.7915309446254072,0.7896696137738483,0.7816573556797021,0.7834138350261218,0.006929584415658189,583
0.5829630851745605,0.014240122692238408,0.008369207382202148,0.000968452699655619,,gini,,,2,20,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'splitter': 'best'}",0.5797101449275363,0.5209580838323353,0.5554502369668246,0.5677290836653387,0.5557729941291585,0.5559241087042388,0.019636716825524106,850,0.7975802698929735,0.7766402978129362,0.7817589576547231,0.7980456026058632,0.7886405959031657,0.7885331447739323,0.008481489169158406,485
0.04915633201599121,0.0011887951307424465,0.006822443008422852,0.00016138733779559863,,gini,,,2,20,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'splitter': 'random'}",0.5615462868769074,0.5365853658536586,0.5314685314685315,0.522,0.5492957746478874,0.540179191769397,0.01384874750793009,1211,0.7994416007445323,0.7878082829222894,0.7817589576547231,0.7775709632387157,0.7914338919925512,0.7876027393105623,0.0076113722060949275,503
0.5674072742462158,0.023186977678934212,0.007818078994750977,0.0008995693252373396,,gini,,,2,30,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 30, 'splitter': 'best'}",0.5852713178294574,0.514456630109671,0.5735567970204841,0.5661116552399609,0.5692307692307692,0.5617254338860684,0.02451244015249103,722,0.8008375988832015,0.7733829688227082,0.78687761749651,0.7938576081898557,0.7914338919925512,0.7892779370769654,0.009139571763129788,462
0.05074639320373535,0.002662324992934791,0.007262134552001953,0.00037238498878481755,,gini,,,2,30,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 30, 'splitter': 'random'}",0.5924453280318092,0.5725806451612904,0.55625,0.5617529880478087,0.5363357215967247,0.5638729365675266,0.01851003670946688,673,0.8092135877152163,0.8026989297347603,0.801768264308981,0.7952536063285249,0.7891061452513967,0.7996081066677758,0.0068664051907042604,231
0.5653021812438965,0.02423930010791414,0.008623266220092773,0.0009164599248501072,,gini,,,2,40,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 40, 'splitter': 'best'}",0.5845552297165201,0.5235707121364093,0.5744274809160306,0.5725646123260437,0.5782652043868395,0.5666766478963686,0.021939934205909683,608,0.8022335970218707,0.7789669613773849,0.7924616100511866,0.799906933457422,0.803072625698324,0.7953283455212377,0.008994808553777534,318
0.047115755081176755,0.003980676678673704,0.008334207534790038,0.0021368606810718005,,gini,,,2,40,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 40, 'splitter': 'random'}",0.5625,0.5534079348931842,0.5714285714285714,0.5432595573440644,0.5725971370143149,0.560638640136027,0.011110432416677812,759,0.8045602605863192,0.7957189390414147,0.8003722661703118,0.7887389483480689,0.8054003724394786,0.7989581573171186,0.006161333744587966,247
0.5630618095397949,0.029956122804522648,0.007120990753173828,0.00012471061238169873,,gini,,,2,50,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 50, 'splitter': 'best'}",0.5827686350435625,0.5490196078431373,0.5902578796561605,0.5933014354066986,0.570273003033367,0.5771241121965852,0.016142262132774473,411,0.7994416007445323,0.7859469520707306,0.8003722661703118,0.8022335970218707,0.8021415270018621,0.7980271886018615,0.006132759858743799,265
0.049007749557495116,0.004625162747733174,0.008479547500610352,0.0013130128141063992,,gini,,,2,50,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 50, 'splitter': 'random'}",0.5349344978165939,0.5431841831425598,0.5844287158746209,0.5976095617529881,0.577639751552795,0.5675593420279116,0.024280588815733743,597,0.801768264308981,0.7957189390414147,0.8087482550023266,0.8120055839925546,0.8100558659217877,0.805659381653413,0.006051407937457095,124
0.551703405380249,0.022178703883951458,0.007382583618164062,0.00023220096449923165,,gini,,,4,10,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",0.5664403491755577,0.5233265720081136,0.5555555555555556,0.5612648221343873,0.5705939629990263,0.5554362523745281,0.016827741201422785,861,0.7919962773382969,0.7812936249418334,0.7878082829222894,0.793392275476966,0.7946927374301676,0.7898366396219106,0.004857686652061128,445
