mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
335.10368542671205,6.072378977953749,0.4150392532348633,0.03153520778335574,10,,1,3,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",0.6536050156739812,0.6531835205992509,0.6370262390670554,0.6402985074626866,0.6231671554252199,0.6414560876456388,0.01131881378936439,1
402.8967360496521,14.466491082667929,0.5962884902954102,0.19131759385421568,10,,1,2,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6536050156739812,0.6532137518684604,0.6360320933625091,0.6417352281226627,0.6226138032305433,0.6414399784516314,0.0115790080581412,2
249.17973527908325,16.5527809003482,0.40927948951721194,0.04922860714605823,10,,3,2,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.6509803921568628,0.6531835205992509,0.6347826086956522,0.6422703510082151,0.6252739225712198,0.6412981590062402,0.01034583167699504,3
354.5956767559052,0.8963363192774261,0.4151607990264893,0.06635781706897617,10,,3,3,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 300}",0.6509803921568628,0.6531835205992509,0.6347826086956522,0.6422703510082151,0.6252739225712198,0.6412981590062402,0.01034583167699504,3
353.8820863246918,1.7895761512310815,0.6511443614959717,0.13125313348368706,10,,3,4,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",0.6509803921568628,0.6531835205992509,0.6347826086956522,0.6422703510082151,0.6252739225712198,0.6412981590062402,0.01034583167699504,3
214.76733641624452,2.457470427010518,0.2976554870605469,0.036639473930198216,10,,2,4,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.6542635658914728,0.653122648607976,0.6351056081573198,0.6436609152288072,0.6203365032918801,0.6412978482354912,0.01257967919169177,6
218.45927052497865,5.161060473578266,0.5486844062805176,0.3336810297199669,10,,2,3,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 200}",0.6542635658914728,0.653122648607976,0.6351056081573198,0.6436609152288072,0.6203365032918801,0.6412978482354912,0.01257967919169177,6
246.09942398071288,8.615615455812401,0.2870460033416748,0.013520450633464697,10,,2,2,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6542635658914728,0.653122648607976,0.6351056081573198,0.6436609152288072,0.6203365032918801,0.6412978482354912,0.01257967919169177,6
161.76974897384645,9.195511155271504,0.1680912971496582,0.01639751821345388,10,,3,2,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.6527131782945736,0.651685393258427,0.6357039187227866,0.6416791604197901,0.62436177972283,0.6412286860836816,0.010549453047297288,9
243.80590372085572,0.574573498397697,0.25910134315490724,0.046744069839569864,10,,3,4,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",0.6527131782945736,0.651685393258427,0.6357039187227866,0.6416791604197901,0.62436177972283,0.6412286860836816,0.010549453047297288,9
192.7539834499359,14.86273567113732,0.2557239532470703,0.007185477909494219,10,,3,3,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 200}",0.6527131782945736,0.651685393258427,0.6357039187227866,0.6416791604197901,0.62436177972283,0.6412286860836816,0.010549453047297288,9
377.9850986003876,0.5206434488442585,0.3976315975189209,0.03699037850839226,10,,1,4,300,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.6546310832025117,0.6532137518684604,0.6365622723962127,0.6407766990291263,0.6207906295754027,0.6411948872143428,0.012352766503210088,12
139.75243315696716,0.5432898880882377,0.2010624885559082,0.02536348824103763,10,,1,2,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6541176470588236,0.6537023186237846,0.635036496350365,0.6419379258137774,0.6191176470588236,0.6407824069811149,0.013026628727527655,13
111.3683732509613,0.3833829736283304,0.14263734817504883,0.007183345024457973,10,,1,4,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6530612244897959,0.6567164179104478,0.6344322344322344,0.6394557823129252,0.6196769456681351,0.6406685209627077,0.013357562166998413,14
259.0822772502899,17.85096631668318,0.29067516326904297,0.024368608818260824,10,,1,3,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.6526479750778816,0.6536731634182908,0.635036496350365,0.6407185628742516,0.6212454212454213,0.640664323793242,0.01201338392184778,15
101.29441304206848,0.4420867017199464,0.1437650203704834,0.016428455263036035,10,,3,2,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.652615144418423,0.6532438478747203,0.6317321688500728,0.6439393939393939,0.6217008797653959,0.6406462869696011,0.01225713342413275,16
108.902299118042,0.38772352883798206,0.14107213020324708,0.008970198052891959,10,,3,4,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",0.652615144418423,0.6532438478747203,0.6317321688500728,0.6439393939393939,0.6217008797653959,0.6406462869696011,0.01225713342413275,16
73.58373394012452,3.1722248240727375,0.09644122123718261,0.011192185318036308,10,,3,3,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 100}",0.652615144418423,0.6532438478747203,0.6317321688500728,0.6439393939393939,0.6217008797653959,0.6406462869696011,0.01225713342413275,16
232.80146617889403,5.763834171977098,0.28932480812072753,0.03603904456341251,10,,1,4,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.6526806526806527,0.651685393258427,0.6359649122807017,0.6416228399699474,0.6212454212454213,0.64063984388703,0.011540798358387288,19
