mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.9200379848480225,0.019974034056791604,0.037727880477905276,0.003913836054278478,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5.853677272796631,0.028883023269628102,0.06412320137023926,0.003929909838668825,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
14.023047256469727,0.7863869908521386,0.15864624977111816,0.01340301049674627,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3.317583131790161,0.2723671133657002,0.038974666595458986,0.00567186034490647,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.20666666666666667,0.24390243902439024,0.2696629213483146,0.2040133779264214,0.18855218855218855,0.2225595187035963,0.02975665094109748,9
7.395246982574463,0.3984836292694087,0.08692569732666015,0.006387201854844115,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.2152317880794702,0.2711323763955343,0.2724358974358974,0.20701168614357263,0.23739837398373984,0.24064202440764287,0.027304625822611617,8
15.490385007858276,0.1958442858637298,0.13450798988342286,0.0026009984048447916,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.4057142857142857,0.4772117962466488,0.3550834597875569,0.44195804195804195,0.41134751773049644,0.4182630202874059,0.040579216402045634,7
4.385269451141357,0.167999365553123,0.04898138046264648,0.006784506683305105,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.4627659574468085,0.5616921269095182,0.5208596713021492,0.4756756756756757,0.5259259259259259,0.5093838714520155,0.03591924137873303,6
7.552096366882324,0.035276874479016514,0.07011752128601074,0.0028503420593204926,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.5677267373380448,0.5892857142857143,0.5915813424345847,0.5879682179341658,0.5810055865921788,0.5835135197169377,0.008645976592456823,5
13.106372213363647,0.3386270666499981,0.11076278686523437,0.01842155846452171,0.5,200,"{'learning_rate': 0.5, 'n_estimators': 200}",0.5870069605568445,0.601536772777168,0.5959821428571429,0.6004464285714286,0.5821064552661381,0.5934157520057445,0.007628113186407991,4
3.35814528465271,0.030519377797452788,0.036865615844726564,0.003793967428937471,1.0,50,"{'learning_rate': 1.0, 'n_estimators': 50}",0.5799086757990868,0.6231884057971014,0.6059933407325194,0.6112886048988285,0.6071428571428571,0.6055043768740787,0.01417212609003311,3
6.761858129501343,0.023051611982519888,0.06933703422546386,0.005762575742179269,1.0,100,"{'learning_rate': 1.0, 'n_estimators': 100}",0.6024636058230683,0.6283924843423799,0.6294307196562836,0.6048988285410011,0.605543710021322,0.614145869676811,0.012104320530938802,2
9.877641963958741,1.213461245320498,0.062372016906738284,0.004222020853334015,1.0,200,"{'learning_rate': 1.0, 'n_estimators': 200}",0.602436323366556,0.6392600205549845,0.6109324758842444,0.6093418259023354,0.611764705882353,0.6147470703180946,0.01268937756816696,1
