mean_fit_time       , std_fit_time          , mean_score_time      , std_score_time        , param_criterion, param_max_depth, param_max_features, param_min_samples_leaf, param_min_samples_split, param_splitter, params                                                                                                                                     , split0_test_score  , split1_test_score  , split2_test_score  , split3_test_score  , split4_test_score  , mean_test_score    , std_test_score       , rank_test_score
0.05847463607788086 , 0.0022580380655446994 , 0.008937501907348632 , 0.0006113367511463736 , entropy        ,              10,                   ,                      1,                      10, random        , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}"    , 0.6                , 0.6259842519685039 , 0.5854616895874263 , 0.6230876216968011 , 0.5993355481727575 , 0.6067738222850977 , 0.015431138973581582 ,               1
0.05889220237731933 , 0.0020262376049684752 , 0.008598804473876953 , 0.00047647188023984245, entropy        ,              10,                   ,                      2,                      10, random        , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}"    , 0.616991643454039  , 0.6204620462046204 , 0.5931758530183727 , 0.5979381443298969 , 0.6016260162601627 , 0.6060387406534183 , 0.010756797836368156 ,               2
0.5985171318054199  , 0.01648718393882533   , 0.007498836517333985 , 0.0009216589861211008 , entropy        ,              10,                   ,                      8,                      20, best          , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'splitter': 'best'}"      , 0.6157303370786517 , 0.6105675146771037 , 0.6203641267700607 , 0.6005089058524173 , 0.581532416502947  , 0.6057406601762361 , 0.013786575058788494 ,               3
0.6440990924835205  , 0.019728708182791172  , 0.009372711181640625 , 0.0007763407284676545 , entropy        ,              10,                   ,                      8,                       2, best          , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2, 'splitter': 'best'}"       , 0.6123973114264376 , 0.6116568434839554 , 0.6176668914362778 , 0.6008911521323997 , 0.5834428383705651 , 0.6052110073699273 , 0.012172552303719043 ,               4
0.6430552005767822  , 0.021939354077985192  , 0.009449338912963868 , 0.0008674981613874126 , entropy        ,              10,                   ,                      8,                      10, best          , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10, 'splitter': 'best'}"      , 0.6123973114264376 , 0.6116568434839554 , 0.6176668914362778 , 0.6008911521323997 , 0.5834428383705651 , 0.6052110073699273 , 0.012172552303719043 ,               4
0.6534650325775146  , 0.012326367752960851  , 0.008691740036010743 , 0.0004437153441917746 , entropy        ,              10,                   ,                      8,                       5, best          , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5, 'splitter': 'best'}"       , 0.6123973114264376 , 0.6116568434839554 , 0.6176668914362778 , 0.6008911521323997 , 0.5834428383705651 , 0.6052110073699273 , 0.012172552303719043 ,               4
0.06391944885253906 , 0.004646286049279213  , 0.011242485046386719 , 0.005991334011796861  , entropy        ,              10,                   ,                      1,                      20, random        , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'}"    , 0.5964682799215173 , 0.6300963676797627 , 0.6131687242798354 , 0.5861846352485475 , 0.5970548862115127 , 0.6045945786682351 , 0.015399135859757584 ,               7
0.652039623260498   , 0.00981697651566239   , 0.009311389923095704 , 0.0016293499139703282 , entropy        ,              10,                   ,                      1,                      20, best          , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'}"      , 0.609811320754717  , 0.6175115207373272 , 0.6148648648648649 , 0.597319719208679  , 0.5814569536423841 , 0.6041928758415944 , 0.013319211802222827 ,               8
0.6399448871612549  , 0.02306510514700507   , 0.012232017517089844 , 0.0021450269980026436 , entropy        ,              10,                   ,                      2,                      20, best          , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'splitter': 'best'}"      , 0.6107331821617535 , 0.6162943495400789 , 0.6148648648648649 , 0.597319719208679  , 0.5806878306878307 , 0.6039799892926414 , 0.013435873239331084 ,               9
0.6387286186218262  , 0.017904678049699158  , 0.01094975471496582  , 0.0017488481044405193 , entropy        ,              10,                   ,                      4,                      20, best          , "{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 20, 'splitter': 'best'}"      , 0.6090225563909775 , 0.6113651208360549 , 0.6164199192462988 , 0.6006389776357828 , 0.5814106789716545 , 0.6037714506161536 , 0.012288516537523617 ,              10
