mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.44673833847045896,0.007485894659893369,0.008592653274536132,0.0018707060866152668,gini,10,,4,40,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 40, 'splitter': 'best'}",0.5944798301486199,0.6098081023454158,0.6268958543983822,0.6229508196721312,0.5917525773195876,0.6091774367768273,0.01430867922733584,1
0.4485019207000732,0.0076471119267695325,0.00925912857055664,0.0011254105563235797,gini,10,,4,30,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 30, 'splitter': 'best'}",0.5982905982905983,0.6023329798515377,0.6270161290322581,0.623721881390593,0.59026369168357,0.6083250560497115,0.014486039087805696,2
0.47235817909240724,0.012089317424331707,0.009063243865966797,0.0022757296188721664,gini,10,,2,40,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 40, 'splitter': 'best'}",0.5939139559286464,0.6095238095238096,0.6253807106598985,0.617737003058104,0.5890834191555098,0.6071277796651937,0.0137961600014315,3
0.5344701766967773,0.004717489885099306,0.009247016906738282,0.0015713453160807926,gini,10,,6,40,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 40, 'splitter': 'best'}",0.597457627118644,0.608324439701174,0.6268958543983822,0.6080808080808081,0.5948717948717949,0.6071261048341607,0.011285725821265354,4
0.5418905258178711,0.007148856004177482,0.008488893508911133,0.0012972351164309852,gini,10,,6,30,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 30, 'splitter': 'best'}",0.6004273504273504,0.6033755274261603,0.6244979919678715,0.6088709677419355,0.5981873111782477,0.6070718297483131,0.009419707572401051,5
0.4734039783477783,0.007691782706855695,0.011102008819580077,0.005749601573473542,gini,10,,2,30,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 30, 'splitter': 'best'}",0.5983086680761099,0.6019007391763463,0.6253807106598985,0.6186612576064908,0.5877551020408164,0.6064012955119324,0.013740094810633261,6
0.5888607978820801,0.012316105085738266,0.010603523254394532,0.003058827866640613,entropy,10,,6,40,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 40, 'splitter': 'best'}",0.5850487540628385,0.6288659793814433,0.6071794871794872,0.6067415730337079,0.5919003115264797,0.6039472210367913,0.015109470855422257,7
0.4515322208404541,0.006076927332522121,0.008813619613647461,0.001538471304505243,gini,10,,4,20,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 20, 'splitter': 'best'}",0.5955176093916755,0.589098532494759,0.62217659137577,0.6194331983805668,0.5930348258706468,0.6038521515026837,0.01401929041238416,8
0.5872085571289063,0.015065613815660399,0.010880231857299805,0.0028048644276814374,entropy,10,,4,40,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 40, 'splitter': 'best'}",0.5850487540628385,0.6266804550155118,0.6100307062436029,0.6050761421319797,0.5919003115264797,0.6037472737960825,0.014540724675557237,9
0.4390814781188965,0.006109109681283726,0.00912318229675293,0.0020233637297753454,gini,10,,2,20,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'splitter': 'best'}",0.5947089947089947,0.5970772442588727,0.612668743509865,0.6143001007049346,0.594758064516129,0.6027026295397592,0.008859842389940423,10
