mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.022233104705810545,0.0070244686757255535,1.8387153625488282,0.23152127389331667,auto,3,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.3200883002207506,0.3078602620087336,0.2996594778660613,0.2911534154535274,0.29464285714285715,0.302680862538386,0.010358237281601228,1
0.028664588928222656,0.012908151173300438,1.5050438404083253,0.027933291083809795,auto,3,1,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.3200883002207506,0.3078602620087336,0.2996594778660613,0.2911534154535274,0.29464285714285715,0.302680862538386,0.010358237281601228,1
0.020423221588134765,0.013698531648922482,0.41432652473449705,0.05923018260334294,auto,3,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.24504084014002334,0.25251396648044694,0.2321219226260258,0.22477064220183487,0.229806598407281,0.23685079397112235,0.010298784505122225,8
0.012034320831298828,0.0026327395864479395,0.23091211318969726,0.02594195335032775,auto,3,2,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.24504084014002334,0.25251396648044694,0.2321219226260258,0.22502870264064295,0.229806598407281,0.23690240605888402,0.010238586514103297,7
0.015546035766601563,0.004813956051971472,1.5667514324188232,0.017111883459441223,auto,5,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.26032540675844806,0.2678132678132678,0.23785166240409208,0.25679012345679014,0.2804878048780488,0.2606536530621294,0.013997278637350135,3
0.01126394271850586,0.0016446102221964213,1.402988576889038,0.006470546539361894,auto,5,1,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.26032540675844806,0.2678132678132678,0.23785166240409208,0.25679012345679014,0.2804878048780488,0.2606536530621294,0.013997278637350135,3
0.009698867797851562,0.00043996762272237387,0.3662623405456543,0.022413967185085242,auto,5,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.20445609436435125,0.20075282308657466,0.21010638297872342,0.1875,0.19870967741935483,0.2003049955698008,0.0074834793695238485,11
0.010949993133544922,0.001310036938354376,0.2188161849975586,0.0045963507097195305,auto,5,2,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.20445609436435125,0.20075282308657466,0.21010638297872342,0.1875,0.19870967741935483,0.2003049955698008,0.0074834793695238485,11
0.011424732208251954,0.0008391376381123253,1.5684893608093262,0.007818163248654421,auto,7,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.2391304347826087,0.22493224932249323,0.24010914051841747,0.23809523809523808,0.258148631029987,0.2400831387497489,0.010590293024439432,5
0.011764430999755859,0.0009167429632037683,1.407034158706665,0.007253442538408526,auto,7,1,distance,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.2391304347826087,0.22493224932249323,0.24010914051841747,0.23809523809523808,0.2578125,0.2400159125437515,0.010475850074510918,6
0.011124706268310547,0.001095125467990685,0.3822957992553711,0.022399189408475597,auto,7,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.16833095577746077,0.16298342541436464,0.1558073654390935,0.17045454545454544,0.1402002861230329,0.15955531564169945,0.010919902062827542,18
0.01020355224609375,0.0011384890674010536,0.2202998161315918,0.00752853302571796,auto,7,2,distance,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.16833095577746077,0.16298342541436464,0.1558073654390935,0.17045454545454544,0.14040114613180515,0.1595954876434539,0.01084876286316013,17
0.010782623291015625,0.00045886636086158133,1.5172418117523194,0.008977477927270012,auto,9,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.20790629575402636,0.17893217893217894,0.2390998593530239,0.20857142857142857,0.2140845070422535,0.20971885393058226,0.01915580181710247,9
