model,accuracy_mean,accuracy_std,f1_mean,f1_std,cv_folds
Random Forest,0.8331328127155826,0.00693131989958779,0.5742379026874874,0.022603531189058616,5
Decision Tree,0.7650416147499401,0.006742919593812262,0.5344349502613714,0.018544519255822962,5
Naïve Bayes,0.7914857134366503,0.0038331690542768447,0.3997288626107133,0.02326607288429546,5
k-Nearest Neighbors,0.715930563545012,0.006832284091650992,0.2003049955698008,0.0074834793695238485,5
